RADSAT-SK Data Log : 2023_03_05
recvTime,preamble,checkSum,length,timestamp,msgID,supervisorUptime,obcUptime,obcResetCount,adcUpdateFlag,adcsTemperature,adcsVoltage_3v3in,adcsVoltage_3v3,adcsVoltage_2v5,adcsVoltage_1v8,adcsVoltage_1v0,adcsCurrent_3v3,adcsCurrent_1v8,adcsCurrent_1v0,adcsVoltage_rtc,rxDoppler,rxRssi,busVoltage,totalCurrent,txCurrent,rxCurrent,powerAmplifierCurrent,powerAmplifierTemperature,boardTemperature,uptime,frames,reflectedPower,forwardPower,busVoltage,totalCurrent,txCurrent,rxCurrent,powerAmplifierCurrent,powerAmplifierTemperature,boardTemperature,uptime,uptime,current_3V3,current_5V,current_SRAM_1,current_SRAM_2,overcurrent_SRAM_1,overcurrent_SRAM_2,camera1DetectionThreshold,camera1AutoAdjustMode,camera1Exposure,camera1AutoGainControl,camera1BlueGain,camera1RedGain,camera2DetectionThreshold,camera2AutoAdjustMode,camera2Exposure,camera2AutoGainControl,camera2BlueGain,camera2RedGain,outputVoltageBCR,outputVoltageBatteryBus,outputVoltage5VBus,outputVoltage3V3Bus,outputCurrentBCR_mA,outputCurrentBatteryBus,outputCurrent5VBus,outputCurrent3V3Bus,PdbTemperature,sunSensorBCR1Voltage,sunSensorSA1ACurrent,sunSensorSA1BCurrent,sunSensorBCR2Voltage,sunSensorSA2ACurrent,sunSensorSA2BCurrent,sunSensorBCR3Voltage,sunSensorSA3ACurrent,sunSensorSA3BCurrent,outputVoltageBatteryBus,outputVoltage5VBus,outputVoltage3V3Bus,outputCurrentBatteryBus,outputCurrent5VBus,outputCurrent3V3Bus,batteryCurrentDirection,motherboardTemp,daughterboardTemp1,daughterboardTemp2,daughterboardTemp3,deployedAntenna1,deployedAntenna2,deployedAntenna3,deployedAntenna4,armed,boardTemp,uptime,deployedAntenna1,deployedAntenna2,deployedAntenna3,deployedAntenna4,armed,boardTemp,uptime,channelZero,channelOne,channelTwo,channelThree,channelFour,channelFive,channelSix,channelSeven,channelZero,channelOne,channelTwo,channelThree,channelFour,channelFive,channelSix,channelSeven,moduleId,moduleError,moduleTimeRecorded,moduleCount,componentId,componentError,componentTimeRecorded,componentCount,moduleCount,componentCount,timeRecorded,count,ack,nack,beginPass,beginFileTransfer,ceaseTransmission,updateTime,device,hard,sunTimeStamp,sunAlphaAngle,sunBetaAngle,nadirTimeStamp,nadirAlphaAngle,nadirBetaAngle,
1678052901,1820,4c9b,85,16909060,2,,,,,,,,,,,,,,,0.0,7.785557270050049,8.086159706115723,49.43257141113281,10.319257736206055,100.19666290283203,0.16643963754177094,0.16643963754177094,24.66168975830078,3,3359118492,-72.13999938964844,8.086159706115723,48.766815185546875,10.65213680267334,100.36310577392578,0.16643963754177094,24.04817008972168,24.584999084472656,4.203895392974451e-45,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1678052917,1820,bb2d,34,16909060,1,1104281600,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1678052917,1820,0148,65,16909060,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2478.827880859375,2483.6630859375,2478.827880859375,2486.08056640625,2480.439697265625,681.7582397460938,2486.08056640625,23.545486450195312,2482.857177734375,2481.245361328125,2478.827880859375,2482.857177734375,2484.468994140625,650.3296508789062,2486.08056640625,24.138031005859375,,,,,,,,,,,,,,,,,,,,,,,,,,,
1678052918,1820,1669,65,16909060,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2478.827880859375,2483.6630859375,2478.827880859375,2486.08056640625,2480.439697265625,681.7582397460938,2486.08056640625,23.545486450195312,2482.857177734375,2481.245361328125,2478.827880859375,2483.6630859375,2484.468994140625,650.3296508789062,2486.08056640625,24.197280883789062,,,,,,,,,,,,,,,,,,,,,,,,,,,
1678052918,1820,9a88,65,16909060,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2478.827880859375,2483.6630859375,2478.827880859375,2486.08056640625,2480.439697265625,681.7582397460938,2486.08056640625,23.604736328125,2482.857177734375,2481.245361328125,2478.827880859375,2483.6630859375,2484.468994140625,650.3296508789062,2486.08056640625,24.197280883789062,,,,,,,,,,,,,,,,,,,,,,,,,,,
1678052919,1820,a6a5,21,16909060,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1678052919,1820,6ae6,45,16909060,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.129672050476074,5.026305198669434,3.3237810134887695,234.60411071777344,2.6550939083099365,6.637700080871582,0.0,25.91448974609375,25.038787841796875,25.038787841796875,24.64117431640625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1678052920,1820,6a58,85,16909060,2,,,,,,,,,,,,,,,0.0,7.785557270050049,8.086159706115723,49.26613235473633,10.65213680267334,100.19666290283203,0.16643963754177094,0.16643963754177094,24.738380432128906,63,3359099692,-74.1500015258789,8.086159706115723,49.099693298339844,10.65213680267334,100.03022003173828,0.16643963754177094,24.201549530029297,24.8150691986084,8.96831017167883e-44,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1678052920,1820,bb2d,34,16909060,1,1104281600,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1678052921,1820,7b0b,65,16909060,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2478.827880859375,2483.6630859375,2478.02197265625,2486.08056640625,2480.439697265625,682.5640869140625,2486.08056640625,23.604736328125,2482.857177734375,2480.439697265625,2478.827880859375,2483.6630859375,2483.6630859375,649.5238037109375,2486.08056640625,24.256546020507812,,,,,,,,,,,,,,,,,,,,,,,,,,,
1678052921,1820,058b,65,16909060,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2478.827880859375,2483.6630859375,2478.02197265625,2486.08056640625,2480.439697265625,681.7582397460938,2486.08056640625,23.66400146484375,2482.857177734375,2480.439697265625,2478.827880859375,2483.6630859375,2484.468994140625,650.3296508789062,2486.08056640625,24.256546020507812,,,,,,,,,,,,,,,,,,,,,,,,,,,
1678052921,1820,7f11,65,16909060,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2478.827880859375,2483.6630859375,2478.827880859375,2486.08056640625,2480.439697265625,682.5640869140625,2486.08056640625,23.723251342773438,2482.857177734375,2481.245361328125,2478.827880859375,2483.6630859375,2484.468994140625,649.5238037109375,2486.08056640625,24.3157958984375,,,,,,,,,,,,,,,,,,,,,,,,,,,
1678052937,1820,0f96,45,16909060,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.129672050476074,5.026305198669434,3.328092098236084,219.9413604736328,2.6550939083099365,5.310160160064697,0.0,25.91448974609375,25.038787841796875,25.038787841796875,24.64117431640625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1678052938,1820,4020,85,16909060,2,,,,,,,,,,,,,,,0.0,7.785557270050049,8.081279754638672,49.26613235473633,10.65213680267334,99.86378479003906,0.16643963754177094,0.16643963754177094,24.891759872436523,124,3359161218,-79.79000091552734,8.086159706115723,49.76545333862305,10.985015869140625,100.03022003173828,0.16643963754177094,24.354930877685547,24.96845054626465,1.7376100957627732e-43,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1678052944,1820,db2e,34,16909060,1,1104412672,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1678052944,1820,2d05,65,16909060,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2478.827880859375,2483.6630859375,2478.827880859375,2486.08056640625,2480.439697265625,681.7582397460938,2486.08056640625,23.723251342773438,2482.857177734375,2480.439697265625,2478.827880859375,2483.6630859375,2484.468994140625,650.3296508789062,2486.08056640625,24.37506103515625,,,,,,,,,,,,,,,,,,,,,,,,,,,
1678052944,1820,af7f,65,16909060,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2478.827880859375,2483.6630859375,2478.827880859375,2485.274658203125,2480.439697265625,681.7582397460938,2486.08056640625,23.782501220703125,2482.857177734375,2481.245361328125,2478.827880859375,2483.6630859375,2484.468994140625,649.5238037109375,2485.274658203125,24.434295654296875,,,,,,,,,,,,,,,,,,,,,,,,,,,
1678052945,1820,8daf,65,16909060,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2478.827880859375,2483.6630859375,2478.827880859375,2486.08056640625,2479.6337890625,681.7582397460938,2486.08056640625,23.841751098632812,2482.857177734375,2480.439697265625,2478.02197265625,2483.6630859375,2484.468994140625,650.3296508789062,2485.274658203125,24.434295654296875,,,,,,,,,,,,,,,,,,,,,,,,,,,
1678052945,1820,d3b2,21,16909060,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1678052945,1820,2ecf,45,16909060,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.120678901672363,5.032170295715332,3.328092098236084,234.60411071777344,2.6550939083099365,5.310160160064697,0.0,25.91448974609375,25.038787841796875,25.038787841796875,25.038787841796875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1678052946,1820,ceb7,85,16909060,2,,,,,,,,,,,,,,,0.0,7.785557270050049,8.081279754638672,48.766815185546875,10.485697746276855,100.529541015625,0.16643963754177094,0.16643963754177094,24.96845054626465,184,3359157800,-68.93000030517578,8.081279754638672,49.099693298339844,10.319257736206055,99.69734191894531,0.16643963754177094,24.508310317993164,25.04513931274414,2.5783891743576634e-43,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1678052947,1820,db2e,34,16909060,1,1104412672,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1678052947,1820,0b27,65,16909060,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2478.827880859375,2483.6630859375,2478.827880859375,2486.08056640625,2480.439697265625,681.7582397460938,2486.08056640625,23.841751098632812,2482.857177734375,2480.439697265625,2478.827880859375,2483.6630859375,2484.468994140625,649.5238037109375,2486.08056640625,24.493560791015625,,,,,,,,,,,,,,,,,,,,,,,,,,,
1678052948,1820,2e03,65,16909060,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2478.827880859375,2483.6630859375,2478.02197265625,2485.274658203125,2480.439697265625,680.952392578125,2486.08056640625,23.901016235351562,2482.857177734375,2480.439697265625,2478.827880859375,2483.6630859375,2484.468994140625,650.3296508789062,2485.274658203125,24.493560791015625,,,,,,,,,,,,,,,,,,,,,,,,,,,
1678052951,1820,b50b,3,1678052951,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
